2026-04-12 13:25:08 | INFO     | cognia.__main__                | info message | test.info | prueba
2026-04-12 13:25:08 | WARNING  | cognia.__main__                | warning message | test.warning | prueba
2026-04-12 13:25:08 | ERROR    | cognia.__main__                | error message | test.error | prueba
2026-04-12 13:25:08 | WARNING  | cognia.__main__                | Excepción en [test.division]: ZeroDivisionError: division by zero | test.division | ZeroDivisionError: division by zero
2026-04-12 13:25:08 | WARNING  | cognia.__main__                | Operación lenta: 300.3ms (umbral 100ms) | test.operacion_lenta | latency_ms=300.3
2026-04-12 13:25:09 | ERROR    | cognia.__main__                | Error de base de datos en [test.db_error]: OperationalError: unable to open database file | test.db_error | tabla=episodic_memory
2026-04-12 13:52:18 | INFO     | cognia.teacher_interface       | ModelCollapseGuard cargado | teacher.init | db=cognia_memory.db
2026-04-12 13:52:18 | INFO     | cognia.teacher_interface       | LanguageCorrector cargado | teacher.init | ok
2026-04-12 13:52:47 | WARNING  | cognia.memory.episodic         | Operación lenta: 2823.5ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=2823.5
2026-04-12 13:52:49 | WARNING  | cognia.memory.episodic         | Operación lenta: 2689.6ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=2689.6
2026-04-12 13:52:52 | WARNING  | cognia.memory.episodic         | Operación lenta: 2760.6ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=2760.6
2026-04-12 13:52:57 | INFO     | cognia.conversation_memory     | ConversationContext creado | conv_ctx.init | key=2814052130432 max_turns=12 context_turns=4 sim_th=0.35
2026-04-12 13:54:45 | WARNING  | cognia.memory.episodic         | Operación lenta: 3763.5ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=3763.5
2026-04-12 13:54:49 | WARNING  | cognia.memory.episodic         | Operación lenta: 3570.2ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=3570.2
2026-04-12 13:54:53 | WARNING  | cognia.memory.episodic         | Operación lenta: 3600.0ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=3600.0
2026-04-12 13:55:27 | WARNING  | cognia.memory.episodic         | Operación lenta: 4073.6ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=4073.6
2026-04-12 13:55:31 | WARNING  | cognia.memory.episodic         | Operación lenta: 4209.1ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=4209.1
2026-04-12 13:55:36 | WARNING  | cognia.memory.episodic         | Operación lenta: 4086.2ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=4086.2
2026-04-12 13:56:07 | WARNING  | cognia.memory.episodic         | Operación lenta: 3844.3ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=3844.3
2026-04-12 13:56:11 | WARNING  | cognia.memory.episodic         | Operación lenta: 4103.3ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=4103.3
2026-04-12 13:56:14 | INFO     | cognia.response_cache          | Entradas expiradas eliminadas: 0 | cache.clear_expired | count=0
2026-04-12 13:56:14 | WARNING  | cognia.memory.episodic         | Operación lenta: 2929.1ms (umbral 200ms) | episodic.retrieve_similar | latency_ms=2929.1
